#	10636
导	1523
航	1517
去	1272
我	1117
到	936
要	704
市	457
一	449
个	360
l	326
路	299
大	273
区	270
县	265
第	232
你	230
的	216
城	205
南	201
站	195
中	185
山	185
家	179
州	178
镇	176
场	170
店	170
n	167
u	165
小	158
西	156
东	151
院	148
车	147
园	138
好	137
北	135
学	134
阳	132
新	129
二	126
回	126
安	125
公	120
村	115
不	115
是	110
广	110
三	110
海	109
帮	107
天	102
医	101
了	100
江	100
酒	99
开	94
下	90
消	89
口	88
有	88
想	87
请	86
取	86
近	85
河	85
国	85
在	83
人	83
政	81
金	81
给	81
里	80
十	80
府	80
华	80
花	78
高	76
关	76
定	76
民	74
街	73
门	71
号	70
上	70
道	70
省	70
平	69
湖	67
么	66
龙	66
来	66
八	65
四	65
出	65
五	63
哪	62
心	62
地	61
京	59
桥	59
都	59
乡	58
水	58
行	55
附	55
确	55
那	54
电	54
庄	52
长	51
明	51
闭	51
这	51
馆	50
石	50
业	50
司	50
找	49
打	49
工	49
交	49
和	48
汽	47
宁	47
加	46
走	46
最	46
商	46
际	46
退	45
吗	45
兰	45
百	44
发	44
火	44
德	43
机	43
银	43
七	43
宾	42
听	41
兴	41
放	40
速	40
青	39
油	39
方	39
万	38
川	37
楼	37
通	37
林	36
所	35
啊	35
说	35
保	35
白	35
点	34
达	34
乐	34
子	33
景	33
厂	33
苑	32
泉	32
吃	32
宝	32
马	32
台	32
会	31
什	31
校	31
六	31
光	31
怎	31
页	31
务	31
源	30
限	30
港	30
湾	30
停	29
理	29
零	29
重	28
没	28
沙	28
科	27
文	27
收	27
黄	27
昌	27
尔	27
化	27
滨	26
吧	26
美	26
泰	26
碧	26
浦	26
溪	26
汉	25
费	25
看	25
就	25
九	25
厦	25
乌	25
云	25
环	25
武	25
庆	24
现	24
临	24
头	24
生	24
福	24
建	24
对	24
时	24
音	23
管	23
物	23
红	22
世	22
岛	22
搜	22
爱	22
始	22
成	22
们	22
盛	22
饭	21
带	21
昆	21
线	21
合	21
春	21
局	21
木	21
名	21
郑	20
岭	20
能	20
农	20
田	20
古	20
前	20
常	20
雅	20
图	19
济	19
挂	19
服	19
警	19
面	19
贵	19
玉	19
津	19
太	18
博	18
话	18
永	18
顺	18
界	18
王	18
曲	18
流	18
设	18
洲	18
返	17
罗	17
苏	17
快	17
远	17
瑞	17
嗯	17
汇	17
后	17
信	17
康	17
神	17
温	17
运	16
张	16
利	16
锦	16
结	16
索	16
双	16
齐	16
清	16
宜	16
队	16
吉	16
可	16
星	16
哈	16
贸	16
嘉	15
得	15
技	15
集	15
播	15
果	15
品	15
把	15
多	15
儿	15
鲁	15
丰	15
凤	15
日	15
岗	15
首	15
香	15
格	15
年	15
与	15
亚	15
查	14
原	14
寺	14
呵	14
动	14
沈	14
外	14
况	14
义	14
铁	14
丽	14
歌	14
斯	14
特	14
之	14
连	14
以	14
塔	14
置	14
老	14
知	14
夏	14
字	13
客	13
千	13
团	13
从	13
渡	13
叫	13
分	13
幼	13
问	13
库	13
用	13
房	13
辉	13
书	12
程	12
拉	12
样	12
社	12
捷	12
梅	12
阴	12
气	12
修	12
盘	12
陵	12
错	12
健	12
洋	12
坊	12
部	12
泽	12
妈	12
叉	12
蓝	12
他	12
晋	12
